# Rescue on Fractalus! symbol map — grows as analysis progresses
# Format: addr,name,type,is_hw,note
# type: func | var | data | hw | vec
# is_hw: 1 = hardware/OS register (route through platform API)
#
# --- Hardware registers (Atari-specific, all is_hw=1) ---
$D000,HPOSP0,hw,1,GTIA player 0 horizontal position
$D001,HPOSP1,hw,1,GTIA player 1 horizontal position
$D002,HPOSP2,hw,1,GTIA player 2 horizontal position
$D003,HPOSP3,hw,1,GTIA player 3 horizontal position
$D004,HPOSM0,hw,1,GTIA missile 0 horizontal position
$D005,HPOSM1,hw,1,GTIA missile 1 horizontal position
$D006,HPOSM2,hw,1,GTIA missile 2 horizontal position
$D007,HPOSM3,hw,1,GTIA missile 3 horizontal position
$D008,SIZEP0,hw,1,GTIA player 0 size
$D009,SIZEP1,hw,1,GTIA player 1 size
$D00A,SIZEP2,hw,1,GTIA player 2 size
$D00B,SIZEP3,hw,1,GTIA player 3 size
$D00C,SIZEM,hw,1,GTIA missile sizes
$D00D,GRAFP0,hw,1,GTIA player 0 graphic (write) / collision (read)
$D010,GRAFP3,hw,1,GTIA player 3 graphic (write) / collision read (game reads here for collision)
$D012,COLPM0,hw,1,GTIA player 0 color
$D013,COLPM1,hw,1,GTIA player 1 color
$D014,COLPM2,hw,1,GTIA player 2 color
$D015,COLPM3,hw,1,GTIA player 3 color
$D016,COLPF0,hw,1,GTIA playfield 0 color
$D017,COLPF1,hw,1,GTIA playfield 1 color
$D018,COLPF2,hw,1,GTIA playfield 2 color
$D019,COLPF3,hw,1,GTIA playfield 3 color
$D01A,COLBK,hw,1,GTIA background color
$D01B,PRIOR,hw,1,GTIA priority control / GTIA mode
$D01D,GRACTL,hw,1,GTIA graphics enable (PM DMA + triggers)
$D01E,HITCLR,hw,1,GTIA collision clear (write)
$D01F,CONSOL,hw,1,GTIA console switches START/SELECT/OPTION (read) / speaker (write)
$D200,AUDF1,hw,1,POKEY audio channel 1 frequency
$D201,AUDC1,hw,1,POKEY audio channel 1 control (distortion + volume)
$D202,AUDF2,hw,1,POKEY audio channel 2 frequency
$D203,AUDC2,hw,1,POKEY audio channel 2 control
$D204,AUDF3,hw,1,POKEY audio channel 3 frequency
$D205,AUDC3,hw,1,POKEY audio channel 3 control
$D206,AUDF4,hw,1,POKEY audio channel 4 frequency
$D207,AUDC4,hw,1,POKEY audio channel 4 control
$D208,AUDCTL,hw,1,POKEY audio control (clock dividers hi-pass filter)
$D20A,RANDOM,hw,1,POKEY random number (17-bit LFSR) — 41 read sites; used pervasively for terrain and game events; must be bit-exact in SDL/Amiga implementations
$D20E,IRQEN,hw,1,POKEY IRQ enable
$D20F,SKCTL,hw,1,POKEY serial key control / SKSTAT read
$D300,PORTA,hw,1,PIA joystick port A (directional bits) — only register read; no PORTB access in game logic
$D400,DMACTL,hw,1,ANTIC DMA control (playfield + PM DMA enable + width)
$D402,DLISTL,hw,1,ANTIC display list pointer low
$D403,DLISTH,hw,1,ANTIC display list pointer high
$D407,PMBASE,hw,1,ANTIC player/missile base page
$D409,CHBASE,hw,1,ANTIC character set base page
$D40A,WSYNC,hw,1,ANTIC wait-for-sync (halt CPU until next scanline)
$D40B,VCOUNT,hw,1,ANTIC vertical line counter (read)
$D40E,NMIEN,hw,1,ANTIC NMI enable (VBI=$40 DLI=$80)
#
# --- OS page-2 shadow registers (is_hw=1; game writes shadow, OS VBI copies to chip) ---
$0200,VDSLST_L,hw,1,DLI vector low — set to $EE/$C2 (DLI handlers $49EE/$6CC2)
